City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Axim,GH,4.8699,-2.2405,84.96,60,25,6.31,scattered clouds
268,Robe,AU,-37.1833,139.75,54.84,58,100,18.37,overcast clouds
269,Nevel,RU,56.0209,29.9284,71.85,49,98,4.29,overcast clouds
270,Jinji,CN,23.2281,110.8261,76.01,95,100,2.17,light rain
271,Joutseno,FI,61.118,28.5076,69.85,46,20,0.92,few clouds
272,Ahome,MX,25.9167,-109.1833,73.42,85,99,8.88,overcast clouds
273,Artesia,US,33.8658,-118.0831,67.21,88,100,5.75,overcast clouds
274,Guerrero Negro,MX,27.9769,-114.0611,63.84,81,100,13.04,overcast clouds
275,Padang,ID,-0.9492,100.3543,78.85,86,95,0.87,light rain
276,Usinsk,RU,65.9939,57.5281,70.93,22,3,1.68,clear sky
277,Viedma,AR,-40.8135,-62.9967,55.81,45,100,19.77,overcast clouds
278,Methven,NZ,-43.6333,171.65,52.02,63,8,3.0,light rain
279,Pattani,TH,6.75,100.4167,83.91,89,100,3.02,overcast clouds
280,Abha,SA,18.2164,42.5053,89.85,5,20,9.22,few clouds
281,Walvis Bay,NA,-22.9575,14.5053,90.55,17,0,17.27,clear sky
282,Yasnyy,RU,51.0333,59.8742,64.78,60,74,20.98,broken clouds
283,Saquarema,BR,-22.92,-42.5103,73.44,59,100,4.25,overcast clouds
284,Sidi Ali,DZ,36.0998,0.4206,80.02,42,27,8.32,scattered clouds
285,Okakarara,NA,-20.5833,17.4333,71.26,20,0,16.37,clear sky
286,Twin Falls,US,42.3505,-114.6445,49.89,76,20,10.36,few clouds
287,Tabuk,PH,17.4189,121.4443,76.57,90,100,4.99,overcast clouds
288,Miraflores,MX,19.2167,-98.8083,62.02,65,98,0.74,overcast clouds
289,Terra Santa,BR,-2.1042,-56.4869,80.02,78,84,2.59,broken clouds
290,Jawad,IN,24.6,74.85,103.46,13,32,15.3,scattered clouds
291,Goias,BR,-15.5807,-49.6362,78.58,36,29,4.97,scattered clouds
292,Simbahan,PH,6.3032,120.5836,83.86,70,75,5.53,broken clouds
293,Port Macquarie,AU,-31.4333,152.9167,46.89,72,0,8.1,clear sky
294,Banda Aceh,ID,5.5577,95.3222,81.03,79,100,4.68,overcast clouds
295,Half Moon Bay,US,37.4636,-122.4286,56.1,89,100,11.5,mist
296,Tooele,US,40.5308,-112.2983,55.98,76,0,5.75,clear sky
297,Taltal,CL,-25.4,-70.4833,63.9,69,14,1.92,few clouds
298,Gerash,IR,27.6652,54.1371,105.94,8,0,7.85,clear sky
299,Menongue,AO,-14.6585,17.691,74.95,24,8,10.2,clear sky
300,Mandera,KE,3.9366,41.867,86.68,43,98,20.09,overcast clouds
301,Hervey Bay,AU,-25.2986,152.8535,58.01,69,6,3.0,clear sky
302,Lewistown,US,40.5992,-77.5714,68.61,80,0,4.61,clear sky
303,Kahului,US,20.8947,-156.47,75.85,74,0,4.0,clear sky
304,Lithakia,GR,37.7167,20.8333,85.37,65,20,13.8,few clouds
305,Humaita,BR,-7.5061,-63.0208,80.26,70,97,3.74,overcast clouds
306,Orlik,RU,52.5178,99.825,49.21,44,8,5.19,clear sky
307,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.97,61,26,3.04,scattered clouds
308,Santa Cruz,BO,-17.8,-63.1667,62.65,88,75,11.5,broken clouds
309,Lavumisa,SZ,-27.31,31.892,77.68,33,0,4.18,clear sky
310,Tiznit,MA,29.5833,-9.5,93.16,14,5,9.08,clear sky
311,Bodden Town,KY,19.2833,-81.25,86.0,73,20,10.36,few clouds
312,Gambela,ET,8.25,34.5833,83.75,57,100,1.54,overcast clouds
313,Balkanabat,TM,39.5108,54.3671,100.81,15,1,10.18,clear sky
314,Vila Velha,BR,-20.3297,-40.2925,74.95,61,0,3.0,clear sky
315,Davila,PH,18.4726,120.5763,82.38,76,95,8.59,overcast clouds
316,Chumphon,TH,10.3333,98.8333,74.21,86,100,2.35,overcast clouds
317,Wageningen,NL,51.9667,5.6667,69.04,73,100,10.36,overcast clouds
318,Bugojno,BA,44.0572,17.4508,79.61,48,82,6.26,broken clouds
319,Pionerskiy,RU,54.9508,20.2275,71.44,92,99,8.3,overcast clouds
320,Kokopo,PG,-4.352,152.2633,77.07,85,19,4.81,light rain
321,Tsumeb,NA,-19.2333,17.7167,72.86,18,0,16.71,clear sky
322,Te Anau,NZ,-45.4167,167.7167,46.24,90,86,5.12,moderate rain
323,Verkhnevilyuysk,RU,63.4453,120.3167,58.5,68,0,0.4,clear sky
324,Faya,SA,18.3851,42.4509,90.12,16,31,2.95,scattered clouds
325,Port Keats,AU,-14.25,129.55,79.97,73,52,3.31,broken clouds
326,Alofi,NU,-19.0595,-169.9187,75.09,78,39,9.22,scattered clouds
327,Tondano,ID,1.3038,124.9112,68.09,93,33,1.95,scattered clouds
328,Orotukan,RU,62.2667,151.7,41.94,63,26,6.11,scattered clouds
329,Skibbereen,IE,51.55,-9.2667,59.11,94,100,14.79,overcast clouds
330,Port Augusta,AU,-32.5,137.7667,52.77,63,51,8.23,broken clouds
331,Maracacume,BR,-2.0428,-45.9592,79.41,87,54,3.06,broken clouds
332,Kemijarvi,FI,66.7131,27.4306,61.45,24,81,11.03,broken clouds
333,Rawlins,US,41.7911,-107.2387,44.35,65,0,0.0,clear sky
334,Pevek,RU,69.7008,170.3133,30.51,84,34,5.95,scattered clouds
335,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,63.16,86,99,2.55,overcast clouds
336,Gualeguay,AR,-33.1416,-59.3097,52.79,74,0,5.19,clear sky
337,Halifax,CA,44.6453,-63.5724,62.69,76,20,5.75,few clouds
338,George Town,MY,5.4112,100.3354,82.35,78,20,7.0,few clouds
339,Tuy Hoa,VN,13.0833,109.3,81.75,77,100,6.89,overcast clouds
340,Barcelona,ES,41.3888,2.159,88.2,64,20,14.97,few clouds
341,Wuda,CN,39.4994,106.7117,78.55,11,0,11.59,clear sky
342,Huarmey,PE,-10.0681,-78.1522,64.44,83,87,3.53,overcast clouds
343,Ahuimanu,US,21.4447,-157.8378,75.85,77,40,8.05,scattered clouds
344,Bara,NG,10.3744,10.7288,100.67,23,34,3.69,scattered clouds
